date,fatality_rate,med_fatal,med_injury,med_no_injury,not-head-on,head-on,year,month,summer_ind
2015-09-01,0.01618527534706231,99.0,85.0,62.0,44.0,202.0,2015,9,0
2015-10-01,0.01480366327938778,97.0,97.0,42.0,33.0,203.0,2015,10,0
2015-11-01,0.01424238428062772,68.0,86.0,62.0,74.0,142.0,2015,11,0
2015-12-01,0.014426364009298509,87.0,77.0,47.0,72.0,139.0,2015,12,0
2016-01-01,0.01604355716878403,62.0,76.0,83.0,46.0,175.0,2016,1,0
2016-02-01,0.008633203453281382,45.0,36.0,32.0,48.0,65.0,2016,2,0
2016-03-01,0.012993674132330314,60.0,62.0,30.0,55.0,97.0,2016,3,0
2016-04-01,0.017463617463617465,84.0,82.0,44.0,46.0,164.0,2016,4,0
2016-05-01,0.014579700034879664,98.0,70.0,41.0,47.0,162.0,2016,5,0
2016-06-01,0.014141284873304325,93.0,77.0,51.0,43.0,178.0,2016,6,1
2016-07-01,0.017966313162819714,93.0,87.0,108.0,55.0,233.0,2016,7,1
2016-08-01,0.01313355530891602,83.0,79.0,51.0,43.0,170.0,2016,8,1
2016-09-01,0.01357947434292866,89.0,71.0,57.0,39.0,178.0,2016,9,0
2016-10-01,0.013398373983739838,80.0,72.0,54.0,55.0,151.0,2016,10,0
2016-11-01,0.015298117154811715,80.0,83.0,71.0,65.0,169.0,2016,11,0
2016-12-01,0.01310214457988397,65.0,62.0,74.0,68.0,133.0,2016,12,0
2017-01-01,0.01475548060708263,64.0,69.0,42.0,45.0,130.0,2017,1,0
2017-02-01,0.009397841977027498,48.0,43.0,17.0,60.0,48.0,2017,2,0
2017-03-01,0.013841135502071762,56.0,59.0,42.0,45.0,112.0,2017,3,0
2017-04-01,0.012767089280964624,62.0,46.0,36.0,53.0,91.0,2017,4,0
2017-05-01,0.01055648769574944,67.0,46.0,38.0,43.0,108.0,2017,5,0
2017-06-01,0.009801999607920015,78.0,41.0,31.0,29.0,121.0,2017,6,1
2017-07-01,0.01967948717948718,108.0,128.0,71.0,56.0,251.0,2017,7,1
2017-08-01,0.016927940982742723,106.0,89.0,62.0,59.0,198.0,2017,8,1
2017-09-01,0.015841452906475775,94.0,85.0,60.0,67.0,172.0,2017,9,0
2017-10-01,0.015182186234817813,93.0,67.0,65.0,52.0,173.0,2017,10,0
2017-11-01,0.011239901650860555,66.0,55.0,39.0,57.0,103.0,2017,11,0
2017-12-01,0.015256588072122053,80.0,87.0,64.0,82.0,149.0,2017,12,0
